ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",50895,3696.9999999999995,"Census Tract 9, Story County, IA","14000US19169000900"
2017,"2017",0,"Total",22832,5892,"Census Tract 10, Story County, IA","14000US19169001000"
2017,"2017",0,"Total",23825,12465,"Census Tract 11, Story County, IA","14000US19169001100"
2017,"2017",0,"Total",135250,96310,"Census Tract 12, Story County, IA","14000US19169001200"
2017,"2017",0,"Total",32792,4025,"Census Tract 13.01, Story County, IA","14000US19169001301"
2017,"2017",0,"Total",58929,9633,"Census Tract 13.02, Story County, IA","14000US19169001302"
2016,"2016",0,"Total",62961,12892,"Census Tract 2, Story County, IA","14000US19169000200"
2016,"2016",0,"Total",54858,5909,"Census Tract 3, Story County, IA","14000US19169000300"
2016,"2016",0,"Total",69208,7450.999999999999,"Census Tract 4, Story County, IA","14000US19169000400"
2016,"2016",0,"Total",14026,1486,"Census Tract 5, Story County, IA","14000US19169000500"
2016,"2016",0,"Total",63458,13447,"Census Tract 6, Story County, IA","14000US19169000600"
2016,"2016",0,"Total",19205,3831,"Census Tract 7, Story County, IA","14000US19169000700"
2016,"2016",0,"Total",50399,4676,"Census Tract 9, Story County, IA","14000US19169000900"
2016,"2016",0,"Total",25522,3876,"Census Tract 10, Story County, IA","14000US19169001000"
2016,"2016",0,"Total",18750,3493,"Census Tract 11, Story County, IA","14000US19169001100"
2016,"2016",0,"Total",30433,4870,"Census Tract 13.01, Story County, IA","14000US19169001301"
2016,"2016",0,"Total",56776,8187,"Census Tract 13.02, Story County, IA","14000US19169001302"
2015,"2015",0,"Total",68446,10302,"Census Tract 2, Story County, IA","14000US19169000200"
2015,"2015",0,"Total",51638,3032,"Census Tract 3, Story County, IA","14000US19169000300"
2015,"2015",0,"Total",70888,5060,"Census Tract 4, Story County, IA","14000US19169000400"
2015,"2015",0,"Total",12764,2228,"Census Tract 5, Story County, IA","14000US19169000500"
2015,"2015",0,"Total",66019,10906,"Census Tract 6, Story County, IA","14000US19169000600"
2015,"2015",0,"Total",18794,2857,"Census Tract 7, Story County, IA","14000US19169000700"
2015,"2015",0,"Total",47372,6187,"Census Tract 9, Story County, IA","14000US19169000900"
2015,"2015",0,"Total",25438,4887,"Census Tract 10, Story County, IA","14000US19169001000"
2015,"2015",0,"Total",18932,4577,"Census Tract 11, Story County, IA","14000US19169001100"
2015,"2015",0,"Total",77083,72342,"Census Tract 12, Story County, IA","14000US19169001200"
2015,"2015",0,"Total",30502,5045,"Census Tract 13.01, Story County, IA","14000US19169001301"
2015,"2015",0,"Total",54281,5322,"Census Tract 13.02, Story County, IA","14000US19169001302"
2014,"2014",0,"Total",69583,9298,"Census Tract 2, Story County, IA","14000US19169000200"
2014,"2014",0,"Total",58245,6343,"Census Tract 3, Story County, IA","14000US19169000300"
2014,"2014",0,"Total",69728,6043,"Census Tract 4, Story County, IA","14000US19169000400"
2014,"2014",0,"Total",13635,2109,"Census Tract 5, Story County, IA","14000US19169000500"
2014,"2014",0,"Total",65694,10352,"Census Tract 6, Story County, IA","14000US19169000600"
2014,"2014",0,"Total",17453,3875.0000000000005,"Census Tract 7, Story County, IA","14000US19169000700"
2014,"2014",0,"Total",48359,5881,"Census Tract 9, Story County, IA","14000US19169000900"
2014,"2014",0,"Total",24007,5302,"Census Tract 10, Story County, IA","14000US19169001000"
2014,"2014",0,"Total",18819,2745,"Census Tract 11, Story County, IA","14000US19169001100"
2014,"2014",0,"Total",84167,33184,"Census Tract 12, Story County, IA","14000US19169001200"
2014,"2014",0,"Total",30971,2796,"Census Tract 13.01, Story County, IA","14000US19169001301"
2014,"2014",0,"Total",58125,8061,"Census Tract 13.02, Story County, IA","14000US19169001302"
2013,"2013",0,"Total",55541,9915,"Census Tract 2, Story County, IA","14000US19169000200"
2013,"2013",0,"Total",57705,3916.0000000000005,"Census Tract 3, Story County, IA","14000US19169000300"
2013,"2013",0,"Total",68167,3630.9999999999995,"Census Tract 4, Story County, IA","14000US19169000400"
2013,"2013",0,"Total",14757,2588,"Census Tract 5, Story County, IA","14000US19169000500"
2013,"2013",0,"Total",70099,11532,"Census Tract 6, Story County, IA","14000US19169000600"
2013,"2013",0,"Total",21163,7292,"Census Tract 7, Story County, IA","14000US19169000700"
2013,"2013",0,"Total",44523,4309,"Census Tract 9, Story County, IA","14000US19169000900"
2013,"2013",0,"Total",24302,4990,"Census Tract 10, Story County, IA","14000US19169001000"
2013,"2013",0,"Total",23268,6650,"Census Tract 11, Story County, IA","14000US19169001100"
2013,"2013",0,"Total",92917,75194,"Census Tract 12, Story County, IA","14000US19169001200"
2013,"2013",0,"Total",31118,1883,"Census Tract 13.01, Story County, IA","14000US19169001301"
2013,"2013",0,"Total",57411,5996,"Census Tract 13.02, Story County, IA","14000US19169001302"
