ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
6,"Walked",2016,"2016",3461,434.99999999999994,"Ames, IA","16000US1901855","ames-ia",0.10219387604452712
7,"Other",2016,"2016",54,36,"Ames, IA","16000US1901855","ames-ia",0.0015944724953494552
8,"Worked At Home",2016,"2016",1262,301,"Ames, IA","16000US1901855","ames-ia",0.03726341276168542
0,"Drove Alone",2015,"2015",22889,857,"Ames, IA","16000US1901855","ames-ia",0.6848278131825389
1,"Carpooled",2015,"2015",2088,327.3637121001654,"Ames, IA","16000US1901855","ames-ia",0.062471950453280675
2,"Public Transit",2015,"2015",3046,454.13654334351907,"Ames, IA","16000US1901855","ames-ia",0.09113484726086826
3,"Taxi",2015,"2015",0,22,"Ames, IA","16000US1901855","ames-ia",0
4,"Motorcycle",2015,"2015",78,57.00000000000001,"Ames, IA","16000US1901855","ames-ia",0.002333722287047841
5,"Bicycle",2015,"2015",985,283,"Ames, IA","16000US1901855","ames-ia",0.02947072375310415
6,"Walked",2015,"2015",3333,469,"Ames, IA","16000US1901855","ames-ia",0.09972174849654429
7,"Other",2015,"2015",61,40,"Ames, IA","16000US1901855","ames-ia",0.0018250905065374144
8,"Worked At Home",2015,"2015",943,202,"Ames, IA","16000US1901855","ames-ia",0.02821410406007839
0,"Drove Alone",2014,"2014",22273,1062,"Ames, IA","16000US1901855","ames-ia",0.6828647637734924
1,"Carpooled",2014,"2014",2458,360.81989967295317,"Ames, IA","16000US1901855","ames-ia",0.07535947512033603
2,"Public Transit",2014,"2014",2977,492.967544570634,"Ames, IA","16000US1901855","ames-ia",0.09127142287764049
3,"Taxi",2014,"2014",68,106,"Ames, IA","16000US1901855","ames-ia",0.002084802403654536
4,"Motorcycle",2014,"2014",43,45,"Ames, IA","16000US1901855","ames-ia",0.0013183309317227213
5,"Bicycle",2014,"2014",887,215.00000000000003,"Ames, IA","16000US1901855","ames-ia",0.027194407824140787
6,"Walked",2014,"2014",3019,362,"Ames, IA","16000US1901855","ames-ia",0.09255909495048595
7,"Other",2014,"2014",59,39,"Ames, IA","16000US1901855","ames-ia",0.0018088726737590826
8,"Worked At Home",2014,"2014",833,169,"Ames, IA","16000US1901855","ames-ia",0.025538829444768065
0,"Drove Alone",2013,"2013",21645,744,"Ames, IA","16000US1901855","ames-ia",0.6723720178926441
1,"Carpooled",2013,"2013",2583,371.4310164754689,"Ames, IA","16000US1901855","ames-ia",0.08023732604373758
2,"Public Transit",2013,"2013",2792,436.4309796519949,"Ames, IA","16000US1901855","ames-ia",0.08672962226640159
3,"Taxi",2013,"2013",81,115.99999999999999,"Ames, IA","16000US1901855","ames-ia",0.0025161530815109344
4,"Motorcycle",2013,"2013",51,51,"Ames, IA","16000US1901855","ames-ia",0.001584244532803181
5,"Bicycle",2013,"2013",854,219.99999999999997,"Ames, IA","16000US1901855","ames-ia",0.026528330019880714
6,"Walked",2013,"2013",3263,413,"Ames, IA","16000US1901855","ames-ia",0.10136058648111332
7,"Other",2013,"2013",102,60.00000000000001,"Ames, IA","16000US1901855","ames-ia",0.003168489065606362
8,"Worked At Home",2013,"2013",821,205,"Ames, IA","16000US1901855","ames-ia",0.025503230616302188
